Rank,Team,Statistic
1,Miami,0.28600000000000003
2,Washington,0.276
3,Indiana,0.265
4,Utah,0.265
5,LA Clippers,0.263
6,Denver,0.261
7,Dallas,0.261
8,Boston,0.259
9,Orlando,0.257
10,Milwaukee,0.255
11,San Antonio,0.253
12,Okla City,0.252
13,Cleveland,0.247
14,Detroit,0.24600000000000002
15,LA Lakers,0.244
16,Brooklyn,0.242
17,Toronto,0.24100000000000002
18,Philadelphia,0.24100000000000002
19,Memphis,0.23800000000000002
20,Houston,0.237
21,New York,0.237
22,Chicago,0.23399999999999999
23,Charlotte,0.233
24,Phoenix,0.22899999999999998
25,Portland,0.22699999999999998
26,Atlanta,0.22399999999999998
27,Sacramento,0.22399999999999998
28,Golden State,0.21600000000000003
29,New Orleans,0.215
30,Minnesota,0.214
