Rank,Team,Statistic
1,Dallas,0.231
2,LA Lakers,0.22899999999999998
3,New York,0.225
4,Detroit,0.225
5,Philadelphia,0.223
6,Portland,0.221
7,Orlando,0.221
8,Sacramento,0.22
9,Houston,0.218
10,LA Clippers,0.215
11,New Orleans,0.215
12,Minnesota,0.20800000000000002
13,Toronto,0.207
14,Indiana,0.20600000000000002
15,Miami,0.205
16,Utah,0.205
17,Cleveland,0.204
18,Okla City,0.204
19,Charlotte,0.203
20,Washington,0.201
21,Denver,0.201
22,Memphis,0.201
23,Brooklyn,0.2
24,Chicago,0.196
25,Milwaukee,0.193
26,Phoenix,0.193
27,Atlanta,0.192
28,Boston,0.19
29,San Antonio,0.18
30,Golden State,0.17300000000000001
