Rank,Team,Statistic
1,Charlotte,0.24100000000000002
2,LA Clippers,0.228
3,Houston,0.225
4,Minnesota,0.21899999999999997
5,Cleveland,0.214
6,Milwaukee,0.214
7,Okla City,0.212
8,Phoenix,0.21
9,Philadelphia,0.204
10,LA Lakers,0.20199999999999999
11,Utah,0.201
12,Brooklyn,0.201
13,Denver,0.2
14,Toronto,0.19899999999999998
15,Washington,0.198
16,Memphis,0.196
17,Boston,0.196
18,San Antonio,0.19399999999999998
19,Portland,0.188
20,Orlando,0.18600000000000003
21,Golden State,0.184
22,Miami,0.183
23,Atlanta,0.183
24,New Orleans,0.182
25,Detroit,0.18
26,Indiana,0.177
27,Dallas,0.174
28,Chicago,0.172
29,New York,0.171
30,Sacramento,0.155
