Rank,Team,Statistic
1,Denver,0.27699999999999997
2,Okla City,0.272
3,Miami,0.27
4,LA Clippers,0.24600000000000002
5,Orlando,0.245
6,Cleveland,0.237
7,Utah,0.237
8,Charlotte,0.235
9,New York,0.23199999999999998
10,San Antonio,0.23199999999999998
11,Houston,0.231
12,Chicago,0.23
13,New Orleans,0.22899999999999998
14,Memphis,0.228
15,LA Lakers,0.228
16,Indiana,0.22699999999999998
17,Dallas,0.226
18,Boston,0.225
19,Toronto,0.222
20,Milwaukee,0.221
21,Washington,0.22
22,Brooklyn,0.217
23,Phoenix,0.217
24,Detroit,0.217
25,Portland,0.21600000000000003
26,Sacramento,0.215
27,Minnesota,0.212
28,Philadelphia,0.21100000000000002
29,Atlanta,0.209
30,Golden State,0.187
