Rank,Team,Statistic
1,New York,0.294
2,Utah,0.287
3,Washington,0.282
4,Miami,0.276
5,Dallas,0.271
6,Orlando,0.27
7,Cleveland,0.266
8,Philadelphia,0.265
9,Brooklyn,0.26
10,Denver,0.257
11,New Orleans,0.257
12,Memphis,0.256
13,Indiana,0.256
14,Boston,0.254
15,Sacramento,0.252
16,Atlanta,0.251
17,LA Clippers,0.248
18,LA Lakers,0.24600000000000002
19,Golden State,0.245
20,Charlotte,0.243
21,Detroit,0.243
22,Toronto,0.24100000000000002
23,Milwaukee,0.24100000000000002
24,Okla City,0.23800000000000002
25,Houston,0.23800000000000002
26,San Antonio,0.237
27,Portland,0.23399999999999999
28,Minnesota,0.226
29,Chicago,0.226
30,Phoenix,0.17300000000000001
