Rank,Team,Statistic,Year
18,Memphis,1.045,2016
6,Memphis,0.98,2012
3,Memphis,0.992,2015
16,Memphis,1.071,2020
7,Memphis,1.017,2011
30,Memphis,1.092,2007
8,Memphis,1.013,2014
2,Memphis,0.996,2006
22,Memphis,1.074,2009
12,Memphis,0.996,2004
9,Memphis,1.055,2019
7,Memphis,1.008,2005
3,Memphis,1.052,2022
9,Memphis,1.042,2017
2,Memphis,0.971,2013
29,Memphis,1.086,2008
19,Memphis,1.067,2010
8,Memphis,1.083,2021
2,Memphis,1.075,2023
11,Memphis,1.103,2024
24,Memphis,1.074,2018
