Rank,Statistic,Year
9,1.015,2016
26,1.049,2012
16,1.02,2015
30,1.121,2020
29,1.083,2011
4,0.991,2007
16,1.039,2014
13,1.025,2006
1,0.994,2009
19,1.01,2004
30,1.141,2019
11,1.023,2005
6,1.065,2022
22,1.072,2017
25,1.054,2013
6,1.028,2008
8,1.018,2010
25,1.11,2021
1,1.07,2023
6,1.092,2024
29,1.085,2018
