Rank,Team,Statistic,Year
2,Memphis,0.526,2023
13,Memphis,0.493,2015
12,Memphis,0.485,2012
25,Memphis,0.52,2010
18,Memphis,0.5479999999999999,2024
21,Memphis,0.529,2018
3,Memphis,0.478,2013
12,Memphis,0.536,2021
26,Memphis,0.515,2009
15,Memphis,0.5,2011
24,Memphis,0.52,2016
13,Memphis,0.469,2004
11,Memphis,0.52,2020
11,Memphis,0.524,2022
30,Memphis,0.529,2007
15,Memphis,0.521,2019
7,Memphis,0.471,2005
4,Memphis,0.47,2006
11,Memphis,0.496,2014
8,Memphis,0.509,2017
29,Memphis,0.521,2008
