Rank,Team,Statistic
1,Memphis,0.313
2,Detroit,0.303
3,Okla City,0.285
4,Atlanta,0.284
5,LA Lakers,0.284
6,Portland,0.281
7,Sacramento,0.278
8,Washington,0.276
9,Philadelphia,0.276
10,Phoenix,0.276
11,LA Clippers,0.271
12,Houston,0.26899999999999996
13,Utah,0.268
14,Minnesota,0.267
15,Chicago,0.265
16,San Antonio,0.265
17,Charlotte,0.263
18,Milwaukee,0.263
19,Denver,0.261
20,Miami,0.259
21,Brooklyn,0.251
22,New Orleans,0.248
23,Toronto,0.247
24,Cleveland,0.247
25,Orlando,0.24600000000000002
26,Dallas,0.24600000000000002
27,New York,0.235
28,Boston,0.22899999999999998
29,Indiana,0.21600000000000003
30,Golden State,0.209
