Rank,Team,Statistic
1,Detroit,0.314
2,Memphis,0.282
3,Houston,0.28
4,Sacramento,0.278
5,Portland,0.278
6,Denver,0.27399999999999997
7,Boston,0.27399999999999997
8,Minnesota,0.27399999999999997
9,Chicago,0.272
10,Cleveland,0.272
11,Toronto,0.272
12,Milwaukee,0.271
13,New Orleans,0.26899999999999996
14,Okla City,0.266
15,Phoenix,0.264
16,Golden State,0.256
17,Utah,0.255
18,Washington,0.255
19,LA Clippers,0.252
20,New York,0.251
21,Philadelphia,0.248
22,Dallas,0.248
23,Indiana,0.242
24,San Antonio,0.22899999999999998
25,Orlando,0.22399999999999998
26,Brooklyn,0.222
27,Charlotte,0.21899999999999997
28,Atlanta,0.209
29,LA Lakers,0.20199999999999999
30,Miami,0.2
