Rank,Team,Statistic
1,Okla City,0.278
2,Denver,0.273
3,Minnesota,0.272
4,Chicago,0.272
5,New York,0.266
6,Phoenix,0.261
7,LA Lakers,0.25
8,San Antonio,0.249
9,Memphis,0.245
10,Washington,0.244
11,Houston,0.244
12,Miami,0.242
13,Toronto,0.242
14,Detroit,0.24100000000000002
15,Atlanta,0.239
16,Portland,0.22899999999999998
17,Golden State,0.22699999999999998
18,Utah,0.22399999999999998
19,Philadelphia,0.22399999999999998
20,Cleveland,0.222
21,Orlando,0.21600000000000003
22,Indiana,0.21600000000000003
23,LA Clippers,0.214
24,Boston,0.214
25,Milwaukee,0.213
26,Sacramento,0.21
27,Charlotte,0.19899999999999998
28,Brooklyn,0.195
29,New Orleans,0.18600000000000003
30,Dallas,0.18100000000000002
