Rank,Team,Statistic
1,Chicago,0.321
2,Utah,0.303
3,Memphis,0.301
4,LA Lakers,0.294
5,Indiana,0.293
6,Sacramento,0.29100000000000004
7,Cleveland,0.289
8,LA Clippers,0.285
9,Denver,0.28300000000000003
10,Detroit,0.281
11,Brooklyn,0.278
12,Milwaukee,0.27699999999999997
13,Minnesota,0.275
14,Houston,0.275
15,New Orleans,0.275
16,Washington,0.273
17,New York,0.26899999999999996
18,Okla City,0.268
19,Miami,0.265
20,Portland,0.263
21,Orlando,0.262
22,Toronto,0.259
23,Phoenix,0.258
24,San Antonio,0.245
25,Philadelphia,0.243
26,Atlanta,0.23800000000000002
27,Charlotte,0.23600000000000002
28,Dallas,0.235
29,Golden State,0.22899999999999998
30,Boston,0.198
