Rank,Team,Statistic
1,Houston,0.302
2,New York,0.285
3,Toronto,0.27899999999999997
4,Utah,0.268
5,Memphis,0.264
6,Phoenix,0.262
7,San Antonio,0.256
8,Atlanta,0.253
9,Detroit,0.249
10,New Orleans,0.249
11,Denver,0.248
12,Milwaukee,0.248
13,Okla City,0.248
14,Golden State,0.247
15,Orlando,0.23800000000000002
16,Charlotte,0.23800000000000002
17,Cleveland,0.235
18,Indiana,0.23399999999999999
19,Sacramento,0.23199999999999998
20,LA Clippers,0.23199999999999998
21,Washington,0.226
22,LA Lakers,0.226
23,Miami,0.22399999999999998
24,Portland,0.22399999999999998
25,Boston,0.223
26,Philadelphia,0.218
27,Minnesota,0.213
28,Chicago,0.19899999999999998
29,Brooklyn,0.19399999999999998
30,Dallas,0.18
