Rank,Team,Statistic
1,Portland,0.32
2,Philadelphia,0.306
3,LA Lakers,0.289
4,Okla City,0.28600000000000003
5,Utah,0.28300000000000003
6,Milwaukee,0.278
7,Washington,0.27699999999999997
8,Minnesota,0.27699999999999997
9,Chicago,0.27699999999999997
10,Charlotte,0.27699999999999997
11,Cleveland,0.27699999999999997
12,Phoenix,0.27699999999999997
13,Detroit,0.275
14,Boston,0.27399999999999997
15,Denver,0.273
16,Dallas,0.264
17,Houston,0.262
18,Golden State,0.261
19,Memphis,0.26
20,Atlanta,0.26
21,Indiana,0.254
22,Brooklyn,0.252
23,LA Clippers,0.251
24,Miami,0.247
25,New Orleans,0.245
26,New York,0.244
27,Sacramento,0.243
28,Toronto,0.24
29,Orlando,0.235
30,San Antonio,0.22
