Rank,Team,Statistic
1,Philadelphia,0.319
2,Cleveland,0.302
3,Utah,0.3
4,Milwaukee,0.3
5,Atlanta,0.298
6,Houston,0.29100000000000004
7,Detroit,0.29100000000000004
8,Chicago,0.289
9,New York,0.28600000000000003
10,Washington,0.285
11,Minnesota,0.275
12,Boston,0.273
13,Golden State,0.271
14,Dallas,0.271
15,Okla City,0.268
16,Portland,0.267
17,New Orleans,0.266
18,Brooklyn,0.266
19,Denver,0.26
20,Charlotte,0.257
21,LA Lakers,0.255
22,Sacramento,0.252
23,Indiana,0.244
24,Orlando,0.24
25,Memphis,0.237
26,Toronto,0.23399999999999999
27,LA Clippers,0.231
28,San Antonio,0.23
29,Phoenix,0.223
30,Miami,0.221
