Rank,Team,Statistic
1,Sacramento,0.299
2,Chicago,0.299
3,Minnesota,0.29600000000000004
4,LA Lakers,0.294
5,Portland,0.29100000000000004
6,Memphis,0.28800000000000003
7,LA Clippers,0.284
8,Toronto,0.282
9,Okla City,0.281
10,Washington,0.28
11,Houston,0.27399999999999997
12,Detroit,0.27399999999999997
13,Utah,0.27
14,Golden State,0.267
15,Orlando,0.262
16,Brooklyn,0.261
17,Indiana,0.261
18,Charlotte,0.257
19,Miami,0.254
20,New Orleans,0.249
21,San Antonio,0.249
22,Milwaukee,0.247
23,New York,0.24600000000000002
24,Philadelphia,0.245
25,Dallas,0.243
26,Cleveland,0.242
27,Phoenix,0.237
28,Denver,0.23399999999999999
29,Atlanta,0.23399999999999999
30,Boston,0.214
