Rank,Team,Statistic
1,New York,0.297
2,Utah,0.281
3,Portland,0.275
4,Golden State,0.27399999999999997
5,Atlanta,0.27
6,Orlando,0.255
7,Brooklyn,0.252
8,Denver,0.252
9,Houston,0.251
10,Chicago,0.25
11,Philadelphia,0.25
12,Phoenix,0.247
13,Boston,0.247
14,Sacramento,0.24600000000000002
15,LA Clippers,0.245
16,New Orleans,0.245
17,Toronto,0.242
18,Indiana,0.24
19,Detroit,0.239
20,Memphis,0.23800000000000002
21,Minnesota,0.237
22,Dallas,0.23
23,San Antonio,0.22899999999999998
24,Cleveland,0.226
25,Milwaukee,0.218
26,Miami,0.215
27,Charlotte,0.21100000000000002
28,Okla City,0.21100000000000002
29,Washington,0.2
30,LA Lakers,0.198
