Rank,Team,Statistic
1,Okla City,0.272
2,Philadelphia,0.257
3,Denver,0.257
4,Minnesota,0.242
5,New York,0.24100000000000002
6,LA Lakers,0.23600000000000002
7,LA Clippers,0.235
8,San Antonio,0.23399999999999999
9,Washington,0.233
10,Portland,0.233
11,Toronto,0.231
12,Detroit,0.22699999999999998
13,Indiana,0.226
14,Phoenix,0.225
15,Memphis,0.22399999999999998
16,Charlotte,0.222
17,Sacramento,0.215
18,Miami,0.214
19,Utah,0.214
20,Boston,0.213
21,Golden State,0.212
22,Atlanta,0.21100000000000002
23,Houston,0.21
24,Brooklyn,0.21
25,Cleveland,0.20800000000000002
26,Chicago,0.20600000000000002
27,Orlando,0.2
28,Milwaukee,0.2
29,New Orleans,0.198
30,Dallas,0.18
