Rank,Team,Statistic
1,Utah,0.324
2,Atlanta,0.314
3,Dallas,0.312
4,New York,0.312
5,Okla City,0.304
6,Washington,0.293
7,Detroit,0.287
8,Cleveland,0.287
9,LA Lakers,0.28600000000000003
10,Orlando,0.285
11,Milwaukee,0.273
12,Charlotte,0.271
13,Denver,0.26899999999999996
14,Golden State,0.26899999999999996
15,New Orleans,0.26899999999999996
16,Indiana,0.26899999999999996
17,Portland,0.266
18,Miami,0.262
19,Chicago,0.26
20,LA Clippers,0.258
21,Sacramento,0.257
22,Philadelphia,0.256
23,San Antonio,0.256
24,Memphis,0.256
25,Boston,0.256
26,Houston,0.255
27,Toronto,0.254
28,Minnesota,0.252
29,Brooklyn,0.24100000000000002
30,Phoenix,0.21600000000000003
