Rank,Team,Statistic
1,Utah,0.341
2,LA Clippers,0.32799999999999996
3,Dallas,0.318
4,Portland,0.312
5,Cleveland,0.312
6,Washington,0.307
7,Denver,0.306
8,New Orleans,0.304
9,Detroit,0.301
10,San Antonio,0.29600000000000004
11,Memphis,0.292
12,Atlanta,0.28600000000000003
13,Golden State,0.284
14,Philadelphia,0.282
15,Orlando,0.281
16,Chicago,0.281
17,Indiana,0.28
18,New York,0.27899999999999997
19,Milwaukee,0.275
20,Miami,0.27399999999999997
21,LA Lakers,0.27399999999999997
22,Okla City,0.272
23,Phoenix,0.267
24,Houston,0.263
25,Minnesota,0.263
26,Brooklyn,0.259
27,Sacramento,0.259
28,Boston,0.251
29,Toronto,0.23800000000000002
