Rank,Team,Statistic
1,Okla City,0.308
2,Detroit,0.267
3,Portland,0.26
4,Houston,0.26
5,Utah,0.259
6,Denver,0.258
7,Memphis,0.254
8,Cleveland,0.254
9,Phoenix,0.254
10,Milwaukee,0.249
11,Boston,0.248
12,Toronto,0.247
13,Chicago,0.245
14,Minnesota,0.243
15,Brooklyn,0.24100000000000002
16,Sacramento,0.239
17,New York,0.237
18,Miami,0.237
19,Golden State,0.23600000000000002
20,Indiana,0.23399999999999999
21,LA Lakers,0.231
22,Orlando,0.231
23,San Antonio,0.22699999999999998
24,New Orleans,0.212
25,Dallas,0.207
26,Philadelphia,0.20600000000000002
27,Washington,0.20600000000000002
28,LA Clippers,0.204
29,Charlotte,0.19699999999999998
30,Atlanta,0.193
