Rank,Team,Statistic
1,Denver,0.31
2,Brooklyn,0.307
3,Indiana,0.306
4,Memphis,0.304
5,New Orleans,0.292
6,Chicago,0.292
7,Utah,0.28800000000000003
8,LA Clippers,0.28600000000000003
9,Detroit,0.28300000000000003
10,Cleveland,0.281
11,Milwaukee,0.27699999999999997
12,Minnesota,0.27399999999999997
13,Phoenix,0.27
14,Sacramento,0.267
15,LA Lakers,0.267
16,Houston,0.263
17,Okla City,0.262
18,Charlotte,0.257
19,Golden State,0.257
20,Toronto,0.255
21,New York,0.254
22,Orlando,0.254
23,Portland,0.253
24,Philadelphia,0.249
25,Washington,0.24600000000000002
26,Miami,0.228
27,Atlanta,0.21899999999999997
28,Dallas,0.218
29,San Antonio,0.21100000000000002
30,Boston,0.19699999999999998
