Rank,Team,Statistic
1,Memphis,0.294
2,Toronto,0.28
3,New Orleans,0.275
4,Indiana,0.255
5,Utah,0.252
6,New York,0.251
7,Minnesota,0.24
8,Cleveland,0.239
9,Brooklyn,0.239
10,Boston,0.23600000000000002
11,San Antonio,0.23600000000000002
12,Miami,0.23399999999999999
13,Detroit,0.23399999999999999
14,Charlotte,0.233
15,Atlanta,0.23
16,Golden State,0.23
17,Portland,0.22899999999999998
18,Milwaukee,0.22899999999999998
19,Phoenix,0.226
20,Denver,0.222
21,Okla City,0.218
22,Houston,0.217
23,Sacramento,0.213
24,LA Lakers,0.21100000000000002
25,Washington,0.209
26,LA Clippers,0.20600000000000002
27,Dallas,0.204
28,Philadelphia,0.201
29,Chicago,0.201
30,Orlando,0.198
