Rank,Team,Statistic
1,New Orleans,0.263
2,Denver,0.247
3,Boston,0.247
4,Utah,0.244
5,Memphis,0.242
6,Milwaukee,0.24
7,Atlanta,0.23600000000000002
8,Cleveland,0.23600000000000002
9,Charlotte,0.233
10,Portland,0.23
11,Philadelphia,0.23
12,Minnesota,0.22699999999999998
13,LA Lakers,0.22699999999999998
14,LA Clippers,0.225
15,Chicago,0.223
16,New York,0.221
17,Detroit,0.21899999999999997
18,Orlando,0.21600000000000003
19,Washington,0.214
20,Sacramento,0.213
21,Dallas,0.213
22,Brooklyn,0.212
23,Okla City,0.212
24,Toronto,0.20800000000000002
25,Phoenix,0.20600000000000002
26,Indiana,0.203
27,San Antonio,0.201
28,Houston,0.198
29,Miami,0.193
30,Golden State,0.18
