Rank,Team,Statistic
1,Denver,0.267
2,Portland,0.262
3,Okla City,0.258
4,Philadelphia,0.249
5,Miami,0.248
6,Atlanta,0.247
7,Minnesota,0.24600000000000002
8,Detroit,0.24600000000000002
9,New Orleans,0.24100000000000002
10,Cleveland,0.237
11,Brooklyn,0.237
12,Sacramento,0.231
13,Utah,0.23
14,Golden State,0.22899999999999998
15,Houston,0.22899999999999998
16,Dallas,0.22699999999999998
17,LA Lakers,0.222
18,New York,0.221
19,LA Clippers,0.22
20,Orlando,0.21899999999999997
21,Charlotte,0.217
22,Indiana,0.21600000000000003
23,Washington,0.213
24,San Antonio,0.213
25,Toronto,0.212
26,Boston,0.21100000000000002
27,Milwaukee,0.209
28,Phoenix,0.205
29,Memphis,0.2
30,Chicago,0.19399999999999998
