Rank,Team,Statistic
1,Cleveland,0.325
2,Okla City,0.324
3,Utah,0.32
4,Detroit,0.309
5,Washington,0.309
6,Atlanta,0.307
7,LA Clippers,0.303
8,Orlando,0.299
9,Portland,0.29600000000000004
10,Charlotte,0.295
11,LA Lakers,0.295
12,San Antonio,0.295
13,Dallas,0.292
14,New Orleans,0.29100000000000004
15,Milwaukee,0.29
16,Sacramento,0.28800000000000003
17,Minnesota,0.28600000000000003
18,Chicago,0.285
19,New York,0.28300000000000003
20,Denver,0.281
21,Golden State,0.278
22,Phoenix,0.27699999999999997
23,Boston,0.272
24,Memphis,0.271
25,Houston,0.264
26,Indiana,0.264
27,Miami,0.263
28,Brooklyn,0.255
29,Philadelphia,0.253
30,Toronto,0.237
